"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"2641389","2340859","","999","WWEIA Category description","Flavored milk, reduced fat"
"2662584","2340859","","1002","","Moisture change: 0%"
"2641388","2340859","","999","WWEIA Category number","1204"
"2652637","2340859","4","1001","","2% fat"
"2652639","2340860","4","1001","","skim milk"
"2662585","2340860","","1002","","Moisture change: 0%"
"2641391","2340860","","999","WWEIA Category description","Flavored milk, nonfat"
"2641390","2340860","","999","WWEIA Category number","1208"
"2652638","2340860","3","1001","","nonfat milk"
"2641393","2340861","","999","WWEIA Category description","Milk substitutes"
"2652640","2340861","1","1001","","almond, coconut, rice, or soy milk"
"2641392","2340861","","999","WWEIA Category number","1404"
"2662586","2340861","","1002","","Moisture change: 0%"
"2652642","2340862","2","1001","","25% less sugar"
"2641394","2340862","","999","WWEIA Category number","1204"
"2641395","2340862","","999","WWEIA Category description","Flavored milk, reduced fat"
"2652641","2340862","1","1001","","regular, reduced, or less sugar"
"2662587","2340862","","1002","","Moisture change: 0%"
"2641397","2340863","","999","WWEIA Category description","Flavored milk, whole"
"2641396","2340863","","999","WWEIA Category number","1202"
"2652644","2340863","2","1001","","25% less sugar"
"2662588","2340863","","1002","","Moisture change: 0%"
"2652643","2340863","1","1001","","regular, reduced, or less sugar"
"2641399","2340864","","999","WWEIA Category description","Flavored milk, reduced fat"
"2662589","2340864","","1002","","Moisture change: 0%"
"2641398","2340864","","999","WWEIA Category number","1204"
"2652646","2340864","2","1001","","25% less sugar"
"2652645","2340864","1","1001","","regular, reduced, or less sugar"
"2652647","2340864","3","1001","","2% fat"
"2641400","2340865","","999","WWEIA Category number","1206"
"2652650","2340865","3","1001","","1% fat"
"2652649","2340865","2","1001","","25% less sugar"
"2652648","2340865","1","1001","","regular, reduced, or less sugar"
"2662590","2340865","","1002","","Moisture change: 0%"
"2641401","2340865","","999","WWEIA Category description","Flavored milk, lowfat"
"2652654","2340866","4","1001","","skim"
"2652652","2340866","2","1001","","regular, reduced, or less sugar"
"2641402","2340866","","999","WWEIA Category number","1208"
"2652651","2340866","1","1001","","nonfat milk"
"2652653","2340866","3","1001","","25% less sugar"
"2662591","2340866","","1002","","Moisture change: 0%"
"2641403","2340866","","999","WWEIA Category description","Flavored milk, nonfat"
"2662592","2340867","","1002","","Moisture change: 0%"
"2652655","2340867","1","1001","","almond, coconut, rice, or soy milk"
